org.apache.directory.server,apacheds-core-entry,1.5.7,[]
org.springframework.security,spring-security-openid,5.0.7.RELEASE,[]
org.neo4j,neo4j-codegen,3.4.11,[]
org.renjin,renjin-blas,0.8.2244,[]
org.junit.platform,junit-platform-runner,1.1.0,[]
org.jboss.weld.se,weld-se,2.0.0.Alpha3,[]
org.renjin.cran,lubridate,1.7.4-b2,[]
org.mortbay.jasper,apache-el,8.5.4,[]
org.renjin,renjin-math-common,0.8.2364,[]
org.jboss,jbossxb,2.0.2.Beta4,[]
org.neo4j,neo4j-consistency-check,3.5.2,[]
org.hibernate,hibernate-search-serialization-avro,5.5.0.CR1,[]
org.renjin.cran,nlme,3.1-131-b28,[]
org.eclipse.persistence,org.eclipse.persistence.moxy,2.3.2,[]
org.glassfish.hk2,hk2-xml-schema,2.5.0-b42,[]
org.apache.felix,org.apache.felix.framework,1.0.0,[]
org.renjin,renjin-blas,0.8.2469,[]
org.renjin,renjin-blas,0.8.2401,[]
org.bouncycastle,bcprov-jdk15,1.44,"['CVE-2016-1000345', 'CVE-2016-1000339', 'CVE-2016-1000341', 'CVE-2018-1000613', 'CVE-2020-15522', 'CVE-2016-1000343', 'CVE-2016-1000352', 'CVE-2016-1000342', 'CVE-2015-7940', 'CVE-2018-1000180', 'CVE-2016-1000346', 'CVE-2016-1000344', 'CVE-2020-26939']"
org.apache.directory.api,api-asn1-ber,1.0.0,[]
com.vladsch.flexmark,flexmark-ext-admonition,0.35.10,[]
io.netty,netty-transport-native-epoll,4.1.54.Final,[]
org.renjin.cran,sp,1.2-7-b7,[]
com.typesafe.play,twirl-api_2.11,1.0.4,[]
org.renjin.cran,rpart,4.1-13-b2,[]
org.apache.tiles,tiles-request-servlet-wildcard,1.0.3,[]
jruby,jruby,0.9.8,[]
org.eclipse.jetty,jetty-jaspi,9.4.28.v20200408,[]
org.apache.maven.reporting,maven-reporting-impl,2.0.4.1,[]
org.eclipse.jetty,jetty-websocket,7.6.1.v20120215,[]
io.netty,netty-tcnative,2.0.36.Final,[]
org.eclipse.jetty.websocket,websocket-server,9.4.19.v20190610,[]
de.flapdoodle.embed,de.flapdoodle.embed.process,2.0.5,[]
org.apache.tomcat,tomcat-servlet-api,8.5.11,[]
org.renjin.cran,abind,1.4-3-b288,[]
io.mockk,mockk-dsl,1.9.3,[]
org.neo4j,neo4j-unsafe,3.1.0-BETA1,[]
org.renjin,gcc-bridge,0.7.1515,[]
org.renjin.cran,dichromat,2.0-0-b330,[]
org.renjin.cran,backports,1.1.2-b23,[]
org.renjin,gcc-bridge-plugin,0.8.1614,[]
org.renjin.cran,bit64,0.9-7-b13,[]
com.caucho,quercus,4.0.63,[]
org.glassfish.hk2,hk2-extras,2.5.0-b05,[]
org.apache.karaf,demos,4.2.0,[]
net.sourceforge.htmlunit,htmlunit,2.14,['CVE-2020-5529']
org.renjin,renjin-math-common,0.9.2594,[]
org.jboss.arquillian.container,arquillian-container-spi,1.1.10.Final,[]
org.eclipse.jetty,jetty-websocket,8.1.7.v20120910,[]
org.springframework.osgi,spring-osgi-extender,1.2.1,[]
org.jboss.deployers,jboss-deployers-vfs,2.0.5.GA,[]
org.eclipse.jetty,jetty-annotations,9.4.27.v20200227,[]
org.renjin.cran,nloptr,1.0.4-b253,[]
org.eclipse.persistence,org.eclipse.persistence.core,2.5.1,[]
com.codahale.metrics,metrics-healthchecks,3.0.0,[]
org.springframework,spring-messaging,5.1.14.RELEASE,[]
org.elasticsearch.plugin,lang-mustache-client,6.4.3,[]
org.neo4j,neo4j-graph-algo,3.4.9,[]
org.easytesting,fest-test,2.1.0,[]
org.apache.directory.server,apacheds-interceptors-number,2.0.0-M21,[]
org.geotools,gt-epsg-hsql,8.4,[]
org.renjin,renjin-lapack,0.8.2409,[]
org.renjin,renjin-math-common,0.8.2554,[]
org.infinispan,infinispan-query,9.4.20.Final,[]
org.renjin.cran,viridisLite,0.3.0-b14,[]
org.apache.directory.server,apacheds-interceptor-kerberos,2.0.0-M20,[]
org.renjin,gcc-runtime,0.8.2358,[]
org.apache.karaf,manual,4.2.3,[]
org.apache.karaf.management,org.apache.karaf.management.server,4.1.4,[]
org.eclipse.jetty.websocket,websocket-common,9.2.16.v20160414,[]
com.android.support,viewpager,28.0.0,[]
org.glassfish.main.appclient,acc-config,4.1.1,[]
org.jetbrains.kotlin,kotlin-test,1.1.3,[]
org.apache.tomcat,tomcat-jni,8.5.9,[]
org.renjin.cran,rstudioapi,0.7-b23,[]
io.micrometer,micrometer-registry-prometheus,1.3.2,[]
org.apache.uima,uimaj-test-util,2.5.0,[]
org.elasticsearch.plugin,aggs-matrix-stats-client,6.8.8,[]
org.renjin.cran,pkgconfig,2.0.1-b38,[]
org.webbitserver,webbit-rest,0.3.0,[]
org.renjin.cran,rstudioapi,0.7-b14,[]
org.renjin.cran,sandwich,2.4-0-b17,[]
org.eclipse.jetty.websocket,websocket-api,9.4.2.v20170220,[]
org.elasticsearch.plugin,rank-eval-client,6.8.7,[]
org.jboss.byteman,byteman-bmunit,4.0.7,[]
org.eclipse.aether,aether-connector-wagon,0.9.0.M2,[]
jakarta.activation,jakarta.activation-api,2.0.0,[]
org.apache.lucene,lucene-misc,5.4.1,[]
org.rocksdb,rocksdbjni,5.18.4,[]
org.apache.activemq,artemis-journal,2.6.3,[]
org.renjin.cran,forcats,0.3.0-b8,[]
org.apache.cxf,cxf-rt-wsdl,3.2.6,[]
org.renjin.cran,scatterplot3d,0.3-41-b5,[]
org.jboss.bootstrap,jboss-bootstrap-impl-base,2.1.0-alpha-4,[]
org.renjin.cran,lme4,1.1-18-1-b1,[]
org.apache.karaf.bundle,org.apache.karaf.bundle.springstate,4.0.4,[]
org.apache.tomcat,tomcat-juli,8.0.28,[]
org.renjin.cran,polyclip,1.6-1-b18,[]
org.jboss.arquillian.testenricher,arquillian-testenricher-cdi,1.0.0.Alpha4,[]
com.google.errorprone,error_prone_annotations,2.9.0,[]
com.github.jknack,handlebars-helpers,4.0.7,[]
org.springframework.security,spring-security-aspects,5.0.9.RELEASE,[]
org.eclipse.jetty.http2,http2-hpack,9.4.33.v20201020,[]
org.eclipse.jetty,jetty-util,9.3.23.v20180228,[]
org.springframework.security,spring-security-ldap,5.0.10.RELEASE,[]
org.renjin,renjin-math-common,0.8.2480,[]
org.infinispan,infinispan-cdi-embedded,9.4.17.Final,[]
org.eclipse.jetty.spdy,spdy-http-server,9.2.24.v20180105,[]
org.apache.felix,org.apache.felix.fileinstall,3.5.0,[]
org.renjin.cran,miscTools,0.6-22-b26,[]
org.hibernate,hibernate-testing,5.0.4.Final,[]
org.graalvm.truffle,truffle-nfi-native-darwin-amd64,19.2.1,[]
org.apache.directory.api,api-util,1.0.0-M20,[]
org.graalvm.compiler,compiler,19.2.1,[]
org.eclipse.jetty,jetty-alpn-conscrypt-client,9.4.33.v20201020,[]
org.codehaus.janino,commons-compiler,3.0.7,[]
org.apache.commons,commons-jcs-jcache,2.1,[]
org.fusesource.leveldbjni,leveldbjni-win32,1.8,[]
org.renjin.cran,pillar,1.3.0-b16,[]
